Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
3511 Bakers and Pastrycooks,Male,"e. $180,000 or more",32,32,7552633,32,2552188.85,32,151052.66,0,0,32,151052.66,32,2686256.67,0,0,32,2715151,32,749901,5,189254,0,0,0,0,0,0,0,0,1,20150,0,0,25,30388,3,50019,16,1132009,16,485141,32,7677726,11,47491,1,1203,24,6218,0,0,14,24438,26,79350,2,638,0,0,3,17086,10,5522,17,10439,29,125093,2,26778,12,224618,0,0,16,1639873,5,211402.32,0,0,0,0,0,0,7,689424,7,237895.12,8,1418611,4,59910,3,27107,3,27107,1,8.61,12,1000630,10,359461,9,46437,13,280402,8,363793,5,-49463,13,314330,3,352,0,0,0,0,3,12058,1,89169,1,600,1,88569,1,33372.58,1,3022,4,3623.11,0,0,2,46183.78,0,0,0,0,0,0,32,30,24705,0,0,29,22488.54
3512 Butchers and Smallgoods Makers,Female,All,931,930,35088502,776,4787399.83,622,555949.86,6,4367.47,622,560317.33,707,5023597.45,8,20709.25,918,32335860,864,5348621.24,81,174239,10,46674,7,21045,121,699046,53,476361,1,4290,0,0,431,244422,18,489,82,447487,82,191769,931,36414232,222,357862,40,48038,711,241992,13,10799,535,312762,754,971453,5,923,8,50909,4,6075,314,81904,473,87731,781,1287579,2,25599,42,335448,11,-24575,49,1243826,11,87870.41,6,68365,5,35629,2,20275,8,90101,7,20697.27,13,184430,16,289217,4,401,4,401,4,53.56,60,944110,54,386072,23,38096,60,378001,25,274028,35,-132087,60,141941,11,23146,6,5309,4,72191,21,16393,24,1222621,18,1098527,25,118715,13,11279.4,0,0,20,3995.96,694,229115.35,14,4924.76,67,878305,6,54261.34,9,31231.06,307,253,141538,27,6911.71,36,9058.09
3512 Butchers and Smallgoods Makers,Male,"a. $18,200 or less",1207,1196,12993016,6,7221.96,0,0,0,0,0,0,3,6096.31,0,0,1177,12591311,1015,1367728,80,61468,15,72498,18,24230,246,1650415,54,433970,2,2120,1,335,410,180648,39,17882,90,43996,89,18823,1205,13760592,53,114502,18,9815,404,92374,10,13025,275,103466,482,333182,5,2793,7,3946,2,10965,75,67695,293,70020,575,531014,1,17850,33,160793,19,-298807,59,-201861,9,1191.19,7,23548,5,26054,6,36603,13,22535,0,0,20,254965,33,605718,13,31001,12,12843,9,271.33,76,1044034,66,701194,36,115135,76,577775,24,93875,52,-443945,76,-350070,11,30056,5,15578,0,0,19,41524,83,8839657,74,9621059,85,-721375,1,51.11,0,0,0,0,4,1097.65,0,0,63,1111938,3,25395,15,63357.87,301,217,129199,26,5188.03,16,251.94
3512 Butchers and Smallgoods Makers,Male,"b. $18,201 to $37,000",3320,3320,94142041,3320,6411717.92,1993,1050103.13,0,0,1993,1050103.13,2751,5597326.58,1,2820.78,3271,88067990,3148,11662225,256,546834,61,269574,39,60990,689,3856033,238,2683244,15,81713,6,61741,1271,574918,115,12958,331,304659,330,130486,3320,98797307,805,1524660,112,146615,2638,910537,80,84983,2120,1123601,2835,3790396,19,4230,40,37832,11,15637,884,171357,1766,332117,2929,4648938,5,85265,119,992014,23,-250229,153,1115875,34,43214.95,31,252267,1,2127,22,250695,42,296513,35,12741.57,63,1137991,103,1788373,37,80156,23,5667,23,504.83,219,3048065,183,1965170,94,253414,220,1572708,74,418583,147,-1161810,221,-743227,24,58311,8,34846,4,104809,82,182395,172,12817837,168,11874135,175,815606,100,82698.99,16,11909.95,106,5145,3109,1315556.89,7,4750.02,149,2372835.04,8,61844.32,76,341956.24,916,781,480212,62,19550.34,44,1410.12
3512 Butchers and Smallgoods Makers,Male,"c. $37,001 to $80,000",10125,10125,552043325,10125,93830229.92,9765,10478226.08,10,6205.75,9764,10483086.83,10117,101687067.2,56,141688.7,10109,555421454,10090,110685090.8,1073,1481236,227,2235248,141,610001,273,865041,135,973230,59,407932,18,234057,4292,1848049,371,77056,1422,1707522,1421,731434,10125,572594189,3927,7414637,537,524717,9285,3442280,148,148885,8195,5564343,9779,17094862,138,47348,113,159458,56,154217,4033,759865,6551,1359489,9878,20511589,46,704680,683,4011045,55,-334250,432,4312081,153,155128.04,43,558017,18,391184,58,560745,169,797469,169,152268.03,222,2737967,376,7457771,126,212140,116,71365,115,28571.21,928,12517922,835,7336321,415,873743,939,5960569,310,1846156,635,-3498867,946,-1652711,76,105614,35,99518,11,164949,464,765453,217,11491839,224,10666506,232,334409,132,257261.1,60,68984,196,26334.17,8542,1971710.3,367,223513.6,197,2440377,18,172952,65,238878.44,3831,3362,1875135,318,95814.53,241,14487.62
3512 Butchers and Smallgoods Makers,Male,"d. $80,001 to $180,000",841,841,83165241,841,20634566.17,834,1640147.4,45,57063.66,834,1697211.06,839,21944105.58,3,15104.7,836,71220092,830,18364162,91,360555,29,420284,25,224210,4,14871,6,40305,13,171117,2,35940,434,463101,50,71211,222,2332579,222,999511,841,85621546,324,683100,50,46703,719,256720,5,7470,651,524153,784,1518146,18,15928,12,15284,16,51547,292,65152,512,162392,807,2171197,21,243182,126,1227791,14,-175977,148,5861439,52,430181.57,3,53694,1,211825,7,83224,46,1716326,46,502055.94,55,3729690,64,1551883,22,25770,21,24386,20,3502.43,157,3065613,135,1488806,78,236148,157,1398733,66,609889,94,-667963,160,-58074,18,52652,10,119081,5,145000,75,197748,18,5764421,18,5107670,20,432162,12,150028.77,12,25591,37,18328,0,0,61,321101.88,4,15010,0,0,0,0,540,497,313877,42,14760.07,174,65096.96
3512 Butchers and Smallgoods Makers,Male,"e. $180,000 or more",53,53,16084796,53,5836149.2,53,315414.3,5,14739.75,53,330154.05,53,6020922.67,0,0,52,3976748,49,1093902,5,59190,4,61257,0,0,1,3542,0,0,1,21690,0,0,35,108833,7,517,32,2168343,32,929279,53,16372947,13,33543,1,250,28,6068,0,0,27,16505,41,56366,1,747,2,38373,2,5402,9,4526,19,12612,50,288151,4,58120,13,176629,1,476980,28,5448734,11,995148.37,0,0,0,0,0,0,15,2022972,15,809389.77,16,4076989,6,223686,3,1266,3,1266,3,164.41,20,788833,13,324970,6,11878,21,344152,12,177646,9,-69813,21,107833,4,177829,1,3,4,114700,6,55425,1,3324923,1,3119215,1,205708,1,73571.35,1,3253,2,2000,0,0,4,197605.36,0,0,0,0,0,0,49,42,28428,1,196.38,38,25412.99
3513 Chefs,Female,All,22754,22720,860568311,19152,115950804.1,15276,13403227.43,94,95548.78,15272,13492688.39,17831,121388473.5,169,455920.55,22666,845953260,22132,150042038,4304,2982968,157,849663,317,1097314,2078,11561584,844,8533169,64,322056,25,319385,12303,5251407,360,168573,1266,3247636,1262,1391300,22751,898630057,6849,10448513,1680,1337441,17797,6267557,1199,2519605,15117,11735131,19010,32308247,292,97490,279,94712,78,138795,6770,1443566,11971,2230118,19525,37349367,845,18653358,919,3669912,78,249241,857,9002938,274,680381.97,162,972541,16,112727,205,1608571,300,2405291,260,563903.65,361,6975961,423,7681417,330,1105508,268,286459,278,149749.77,1696,23679912,1542,13907722,735,1733332,1706,11952309,537,3113259,1176,-7026710,1716,-3913451,141,526660,50,192798,16,237464,481,754060,769,25831299,734,22878473,798,2266403,373,567082.19,58,52857.75,417,51963.94,17541,5754340.92,367,457002.73,1774,24606851.18,182,1721572,196,850252.44,8619,7409,3863078,959,193698,848,143609.7
3513 Chefs,Male,"a. $18,200 or less",8690,8633,95139978,180,136385.37,0,0,0,0,0,0,51,103416.12,0,0,8558,94683802,7758,10901735.45,616,496822,19,50124,52,68384,889,5870095,55,433726,7,45233,7,29362,3269,858820,89,10394,290,170044,288,72804,8674,100017006,329,559606,140,96061,2291,589050,119,548363,1574,647637,2774,2440717,35,12056,32,24931,12,63655,359,99142,1534,323234,3323,3131311,27,444916,145,252483,11,-112728,208,-1326905,34,12961.61,63,276031,3,306677,68,959506,48,314839,1,3022.08,64,1080568,117,2824643,65,215531,37,26544,36,8387.56,400,7000474,372,5177671,160,535286,400,3517537,105,422640,298,-2652660,403,-2230020,38,78014,4,12232,1,1800,51,163145,412,22610399,342,23685519,415,-1360632,0,0,0,0,0,0,142,32851.09,1,118.16,454,7885108,45,597588,42,158373.35,1600,1185,552231,165,27426.33,52,5851.65
3513 Chefs,Male,"b. $18,201 to $37,000",18749,18749,515546013,18749,33359190.04,10499,5305392.3,3,676.52,10493,5301750.43,15870,29906540.21,5,13060.12,18599,504365721,18215,68242881.22,2138,3609774,103,300731,249,379105,2430,14159416,270,2836790,29,228779,21,313483,8044,2748406,317,95568,867,900546,863,384927,18749,541625337,4302,7437428,1169,938589,14218,4723878,894,2405861,11514,6995478,15703,22501234,165,64163,168,260669,49,91941,3418,727827,9191,1577462,16119,25842546,288,7101196,502,1931296,15,23513,481,2864951,83,39329.35,206,1664592,5,6057,147,1448994,141,595608,115,31932.76,186,1614187,312,5711247,167,795524,101,158791,128,55606.53,1126,17319789,1032,11293719,440,1306670,1127,8332573,361,1727994,766,-5341167,1132,-3613173,91,341651,28,97043,5,56256,325,556704,1059,31484663,993,24597213,1081,6305668,719,432058.86,26,22998.37,569,21957.02,18289,7664575.23,21,4798.84,1216,19934046,129,1314254,228,980305.59,4480,3662,1740796,493,78911.21,165,12474.95
3513 Chefs,Male,"c. $37,001 to $80,000",38958,38958,2095239043,38958,351690804.9,35071,36825235.48,42,25192.28,35064,36842932.09,38947,378872086.7,452,1187981.26,38898,2138805210,38834,429514543.7,6289,6473733,364,1936727,966,2050930,1176,3751897,150,1099028,98,696963,74,1491400,19869,6750938,703,148228,2089,2879660,2082,1229699,38958,2188033998,16655,30645653,4285,3766858,35503,13959826,1793,2600438,31810,30681506,37347,81654281,735,242672,480,358876,159,306439,11760,2608850,25603,4732874,37639,92558694,987,20566666,1513,7703340,19,69130,1003,9567415,344,475112.82,343,3379999,14,78219,272,2013647,440,2785599,440,538250.43,578,6799221,825,16143306,423,1375564,339,239307,345,244920.74,2930,45202366,2783,29016044,1343,3675779,2961,21996706,833,4511591,2142,-13997754,2975,-9486163,255,842200,67,290971,12,223251,1501,2395771,1403,41504918,1362,31756278,1453,8510941,1102,1898747.1,118,152874,866,91908.32,33834,7968836.24,1344,300095.32,1656,23322416,195,1966952,204,914433,14031,11991,5814183,1839,329795.97,848,67516.61
3513 Chefs,Male,"d. $80,001 to $180,000",4053,4053,415818994,4053,105020099.1,3906,7976083.66,217,246143.76,3895,8193285.29,4038,111385196.7,29,139005.83,4041,401190587,4026,110762138.1,763,1717890,83,1330470,205,1996184,31,75547,9,68493,27,313029,51,1030493,2211,1175613,202,217639,578,3875060,578,1657660,4053,432042913,1950,4324760,862,1217325,3618,1504529,186,295756,3524,6150478,3914,13492848,177,82568,68,111631,43,127829,1497,461140,2900,925891,3973,16153702,171,3102346,531,4061522,12,-33042,330,9425745,103,610919.01,32,605829,3,17989,35,178093,183,5020519,183,1435152.39,219,10213066,265,5051843,100,787491,86,388022,120,738210.06,783,15716479,750,9473273,419,1315399,795,7845150,235,1849675,566,-4767314,801,-2917639,53,176060,13,50381,2,69200,381,863052,148,19164794,153,17622214,164,1416918,113,558331.35,29,60919,138,47579.53,0,0,284,880458.48,34,242563.61,10,74882,2,2298.68,2795,2560,1466933,324,89831.69,853,251912.09
3513 Chefs,Male,"e. $180,000 or more",197,197,48638878,197,16613741.35,191,934108.11,25,60359.98,190,990750.35,196,17114545.29,2,6446.51,194,31425664,191,10631006,35,481549,7,327857,12,551902,0,0,0,0,1,14329,1,18513,128,201782,14,44994,49,3930878,49,1684650,197,50038303,68,274059,49,118811,154,59502,12,47505,160,358356,182,858233,14,5555,7,57285,6,68380,73,33842,138,137374,189,1398898,11,284039,47,547262,1,35317,47,5948844,25,899670.9,1,746719,0,0,0,0,25,2540365,25,965716.18,26,4776731,20,940035,13,647201,10,34665,12,294136.2,67,1544996,62,933048,36,114097,69,800620,15,270775,53,-573544,69,-302769,9,24068,3,7835,3,96837,29,140392,9,806533,8,275517,9,526897,8,181122.18,1,2149,6,2141,0,0,18,449181.29,4,15411.22,0,0,0,0,173,141,80589,9,1604.47,131,64626.47
3514 Cooks,Female,"a. $18,200 or less",3667,3642,39254220,23,15450.92,1,105.74,2,171.23,3,276.97,14,13453.98,0,0,3604,36361034,3195,3178548.3,435,166095,19,53150,14,17340,556,3768827,100,582415,6,12081,3,18165,1628,558257,54,16933,159,133329,159,57124,3662,41039723,156,142207,50,31111,1155,238640,54,292407,590,188772,1321,893137,21,5824,12,3891,8,16169,312,44541,738,148302,1613,1168852,106,2293668,75,162617,40,-326807,126,-12720,31,7968.61,19,66160,3,25074,28,155407,33,83267,1,1.67,41,232076,67,1073517,32,24067,30,16211,28,1218.67,215,2230771,189,1644669,91,168248,220,1216989,58,203042,162,-1002177,220,-799135,26,52433,8,24248,0,0,17,56988,128,3364510,115,3361306,130,-65600,1,6.81,1,47,0,0,12,2218.2,0,0,318,4587735.28,43,335386.94,13,63495.9,992,760,396687,109,31707,58,12454.39
3514 Cooks,Female,"b. $18,201 to $37,000",7866,7866,216178954,7866,13890540.12,4630,2293090.68,20,5605.49,4629,2298059.24,6250,11438839.46,3,6373.74,7842,197594780,7636,22933990.39,1766,811478,55,175615,44,89757,1639,9924821,747,9664154,37,168080,13,180919,3843,2005555,146,26664,494,368533,493,157832,7866,224167421,1856,2281855,284,161685,6102,1806390,272,546208,4124,1809092,6522,6605230,62,21049,72,17017,18,25084,2331,425182,3973,687738,6766,7950114,637,15425228,294,1106048,48,183798,268,832273,72,81087.79,57,495113,4,11936,48,418366,70,228980,56,13495.16,94,952454,176,2461185,82,130464,67,25230,62,10953.83,464,5031734,392,2819516,208,411974,472,2601009,164,691104,308,-1491869,473,-800765,38,93407,16,29096,3,60920,106,101179,192,6444004,183,5443880,198,868835,110,56798.09,37,25948.45,130,4603,7233,3012110.99,27,13581.1,750,11214879,96,828379,26,121787.71,2442,2103,1128608,211,48872.72,171,23295.52
3514 Cooks,Female,"c. $37,001 to $80,000",6490,6490,312681390,6490,46774350.18,5504,4991129.85,23,13288.62,5504,5004393.31,6481,48970192.95,54,138119.4,6481,304694160,6456,55304468.03,1897,1114805,62,518740,73,162322,318,1105116,298,2735731,45,408577,15,286273,3622,2466346,153,32324,505,716901,504,305739,6490,321852650,1894,2562991,334,227807,5850,1957857,199,234420,4499,2549184,6133,7532259,54,19353,101,39281,24,57883,2354,438457,4310,770998,6222,9161587,558,11406046,419,1834504,45,472667,287,3312751,107,132915.41,32,335409,5,62528,22,89380,111,901381,111,170290.05,137,2167790,158,2268573,113,235085,95,104277,95,22593.23,488,6447635,407,3050426,203,318584,491,3131603,216,1247617,279,-1300595,495,-52978,62,363769,14,18506,5,145000,124,156288,95,2010702,93,1320213,98,666070,73,123742.19,51,78666,140,21877.09,6248,1817847.84,164,218793.46,322,4445993,66,536150,22,93086.62,2307,2006,1142952,276,58386.48,197,29633.74
3514 Cooks,Female,"d. $80,001 to $180,000",149,149,15281206,149,3858149.22,140,272626.47,18,23074.32,140,295700.79,149,3872183.83,4,19834.36,147,10555595,140,2740203,53,222345,1,15381,4,49704,5,12404,1,4116,2,20535,1,40159,96,205403,10,4334,35,259139,35,111050,149,15747279,44,84252,17,23154,116,41831,7,13141,111,130373,129,292751,7,5335,4,738,0,0,67,19183,94,29365,139,466073,14,318916,30,188054,6,349916,34,2054417,6,90159.37,1,94400,0,0,2,64605,16,665386,16,180548.68,17,1337292,7,397593,4,4918,4,4918,4,430.79,38,710972,29,262359,22,66757,38,336827,20,193657,19,-148628,39,45029,4,39053,1,2277,5,109500,6,9201,8,1106157,8,980214,9,104215,6,42080.19,2,3079,19,13528.96,0,0,16,232461.81,4,48647,1,48866,0,0,93,83,49216,10,1418.46,46,16337.96
3514 Cooks,Female,"e. $180,000 or more",14,14,4982658,14,1871854.1,13,95945.56,0,0,13,95945.56,14,1890910.02,0,0,14,310275,12,42511,2,140,0,0,0,0,0,0,0,0,0,0,0,0,9,19626,2,282,6,405723,6,173880,14,7807929,0,0,0,0,7,1552,0,0,3,549,8,2101,1,85,0,0,0,0,2,5175,8,358686,12,499576,0,0,2,58665,0,0,6,1112952,3,96448.5,0,0,0,0,0,0,2,1766260,2,815269.87,3,3581006,2,95263,0,0,0,0,0,0,10,690469,7,127527,4,13720,10,190923,9,361404,1,-3105,10,358299,2,2052,1,2977857,4,133106,1,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,126085.8,0,0,0,0,0,0,14,11,9861,0,0,10,9333
3514 Cooks,Male,All,18303,18291,604520064,14050,73142284,8663,6897804.28,31,38628.62,8664,6936314,12687,74542632.79,67,194227.51,18169,585791034,17417,93968836.19,2241,2034956,85,634026,155,508920,1686,9492225,176,1658394,35,396983,42,918442,8404,2822176,287,101027,755,1711696,751,732070,18298,623993588,3457,5857318,971,761526,12086,3775229,556,1718386,8670,4777741,13212,16890200,101,27729,153,110279,52,96153,2906,638826,8097,1200551,13709,19285104,331,6630181,471,2174760,6,-42860,368,4948600,87,312532.39,140,1205517,0,0,75,570865,119,1610454,94,313527.24,172,4912466,312,7977424,95,317921,76,66447,80,59761.84,829,14281090,715,7597037,293,808184,836,5945141,392,2648464,451,-2717736,843,-69272,87,197952,33,204998,4,69119,196,248359,964,24813148,823,17496065,970,7124847,560,708432.33,40,66311.57,421,34789.17,13144,4501337.14,153,307533.39,1534,27409292.39,78,889459,105,490121.64,3806,2574,1213019,512,68702.96,172,30927.29
3611 Animal Attendants and Trainers,Female,All,6599,6589,224921398,5175,28528557.89,4271,3599815,21,14869.76,4270,3613749.38,4672,29765828.55,158,448007.85,6536,209056185,6205,34506326.71,1519,1278976,43,240638,63,341534,887,5063799,255,2844789,17,115775,12,211132,3824,1562211,100,53180,428,1285110,427,550592,6597,235305382,1906,3281523,526,510197,4258,1305574,409,813329,3421,2694880,4753,8605503,69,19883,47,68509,13,24975,2072,419961,2482,502512,5024,10159420,174,4299884,272,888663,43,-1122,292,6291855,110,714148.1,64,477084,10,335039,123,683689,89,1161016,72,270149.85,110,3584259,112,1693819,89,207098,74,57273,78,21768.38,365,5716509,324,3214014,147,323377,364,2859812,119,868740,248,-1549434,370,-680694,89,269514,29,59001,16,353481,119,164102,490,13907256,483,10763754,514,2508273,221,565564.3,12,17264.05,213,31668.35,4577,1624262.08,65,263507.11,1492,27598467,54,538529,0,0,2904,2211,1152988,221,52244.23,278,56386.34
3611 Animal Attendants and Trainers,Male,"a. $18,200 or less",476,461,3824519,5,4584.37,0,0,0,0,0,0,4,3793.41,0,0,452,5051843,370,632743,66,139103,3,4841,4,4925,74,510491,16,143190,4,17067,1,17240,227,93325,15,3427,36,41160,36,17634,474,4925605,36,95204,12,30208,121,38015,4,704,75,119092,148,283223,6,1426,2,369,1,757,35,30275,88,25565,193,354913,2,9109,10,38568,19,-1043014,35,-55380,10,1380.57,1,10664,1,50073,11,242343,10,53747,0,0,14,1071609,13,167501,9,4886,8,3152,7,39.33,24,354205,20,147465,7,10929,25,205622,11,78170,14,-87981,25,-9811,8,51136,1,39,0,0,8,13298,70,5230095,67,5463833,73,-439221,0,0,0,0,1,14.79,2,776.17,0,0,78,1653538,3,36050,0,0,188,112,71012,9,2183.65,4,678.65
3611 Animal Attendants and Trainers,Male,"b. $18,201 to $37,000",733,733,19920380,733,1269586.22,459,235161.28,1,0.97,458,235049.05,557,1129998.04,1,2411.24,713,18146198,670,2424081.77,156,479555,5,24415,5,5193,139,818589,35,410760,1,15053,0,0,340,197525,10,14817,58,86221,58,36939,733,21360199,214,547125,60,89025,457,159111,28,55207,361,329560,527,1180028,9,1376,3,328,3,261,148,31896,267,69099,567,1311558,23,550843,18,59013,13,-78830,37,256208,6,3897.13,7,24838,2,74967,9,187345,5,36299,2,421.3,9,606930,17,315780,10,23461,6,620,8,1548.23,42,585831,34,304025,13,27021,41,217374,25,131819,17,-94408,42,37411,11,20841,6,26524,1,4334,14,20440,97,4080225,93,3556780,96,513456,55,42718.34,1,395.18,50,1798.56,681,276691.84,1,458.66,139,2850381,8,94395,0,0,274,200,119425,23,6479.97,13,59.36
3611 Animal Attendants and Trainers,Male,"c. $37,001 to $80,000",1557,1557,85677332,1557,14681738.38,1490,1614329.6,1,783.5,1490,1614352.47,1556,15859130.45,45,113973.13,1550,85924302,1544,17768616.94,349,740322,19,142500,13,16257,47,171333,11,91622,17,206689,10,309771,797,371643,46,45084,149,409349,148,175390,1557,90660009,691,1949193,229,370610,1299,498528,66,67820,1161,1527565,1413,4413716,37,10391,17,20601,6,5233,546,123854,910,227437,1454,4928913,62,1411404,128,777597,19,-96275,73,821433,26,49531.21,10,75973,8,44494,28,183087,28,95678,28,20933.61,36,487448,57,732518,30,55199,25,39711,22,2266.12,156,2330990,140,1421461,66,157721,152,1113219,46,209448,110,-570859,157,-361411,34,138261,6,26710,1,6000,74,119810,114,7142126,117,6129758,121,969481,78,240303.45,16,36444.32,67,10784.59,1239,300561.81,36,15934.21,156,2762187,11,115779.31,2,2289.65,710,620,346892,68,15975.75,44,5879.74
3611 Animal Attendants and Trainers,Male,"d. $80,001 to $180,000",284,284,28962328,284,7293009.36,282,574869.66,27,29243.65,282,604113.31,284,7763857.25,7,29673.85,284,25169332,280,6878138.48,63,314418,8,184825,7,171358,3,11619,0,0,8,281398,4,99992,164,145958,18,8865,50,518727,50,222298,284,30180689,128,392378,52,83829,232,89076,6,5224,221,338001,260,908508,17,4068,7,56199,3,6041,104,36900,180,67381,267,1210450,25,776046,55,400856,8,13836,36,1629967,14,204566.47,0,0,2,28156,4,15228,17,413235,17,119459.12,22,875877,19,368575,12,115493,10,2241,9,866.31,71,1226054,61,655094,35,108973,70,585652,30,183390,41,-307055,71,-123665,9,58902,0,0,4,80124,25,50086,25,3673502,24,2758827,25,898896,19,225046.95,9,44746,23,15148.77,0,0,11,31363.6,7,72937,2,21234.66,0,0,207,191,122846,21,5506.9,80,31770.02
3611 Animal Attendants and Trainers,Male,"e. $180,000 or more",22,22,6987791,22,2562539.95,22,139755.82,1,2294.78,22,142050.6,22,2709833.76,0,0,22,3985699,20,1453633,6,73151,0,0,0,0,0,0,0,0,0,0,0,0,18,11170,3,1252,12,1480347,12,634430,22,7101847,4,14378,5,29269,11,3739,1,25,11,18726,16,66137,0,0,1,10,1,12397,7,2038,4,1047,21,114056,6,212120,5,40074,1,-11990,3,49482,0,0,0,0,0,0,1,16918,3,262396,3,101342.82,4,1291428,3,297829,1,6875,0,0,0,0,7,430299,6,158452,3,28289,8,113894,4,180583,4,-50919,8,129664,0,0,0,0,1,8971,4,23456,1,584397,2,394320,2,176812,1,65497.8,0,0,0,0,0,0,1,54273.61,0,0,0,0,0,0,21,14,11575,2,258.87,14,10204.22
3612 Shearers,Female,All,206,206,5858822,155,586655.85,115,83599.34,0,0,115,83599.34,129,591100.7,2,7392.64,204,5562741,200,912724,96,91754,0,0,0,0,39,280108,9,124021,0,0,0,0,88,40574,1,56,7,6032,7,2584,206,6625382,100,333921,45,94544,160,49404,8,5815,138,234573,170,718257,5,6802,1,299,0,0,32,3620,95,22389,176,760590,0,0,9,4800,14,8855,17,393306,3,14314.44,2,5001,0,0,2,42106,3,1367,2,19.24,3,5779,0,0,3,23378,3,15781,3,3107.83,15,202400,13,111393,1,7000,16,89899,9,23379,7,-29271,16,-5892,0,0,1,218,0,0,5,9223,13,559641,13,456953,14,56770,6,11926.26,0,0,14,2633.75,139,52358.97,0,0,20,325063,2,26795,0,0,51,44,18719,2,189.6,3,4.42
